Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR1383451_ASSEMBLED	1.7182750628044803	32.519535316243115
SRR1383452_ASSEMBLED	1.7217756667884543	37.70094994519547
SRR1383453_ASSEMBLED	1.9452131712990817	36.044599526731645
SRR1383456_ASSEMBLED	35.91160220994475	64.08839779005524
SRR1383463_ASSEMBLED	3.525828618499491	26.48869523747588
SRR1383464_ASSEMBLED	2.8964550194995837	30.47193374523465
SRR1383465_ASSEMBLED	3.40810923784311	28.145464678835168
SRR1383466_ASSEMBLED	15.683453237410072	84.31654676258992
SRR1383467_ASSEMBLED	10.690909090909091	65.96363636363637
SRR1383468_ASSEMBLED	13.329551900170165	71.75269427112876
