Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR1383451_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.035285024967547915)	(39.0, 0.035285024967547915)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0013571163449056893)	(44.0, 0.0027142326898113786)	(45.0, 0.0)	(46.0, 0.005428465379622757)	(47.0, 0.01017837258679267)	(48.0, 0.05835600283094466)	(49.0, 0.35658231962396975)	(50.0, 1.2770464805562531)	(51.0, 2.784124181574026)	(52.0, 7.3698203110103275)	(53.0, 16.58206177186473)	(54.0, 19.756017623512843)	(55.0, 19.949203135210155)	(56.0, 15.180432010846094)	(57.0, 9.664296915342392)	(58.0, 4.832012746036709)	(59.0, 1.5803619836426708)	(60.0, 0.37795690205623433)	(61.0, 0.10144444678170021)	(62.0, 0.02544593146698167)	(63.0, 0.0027142326898113786)	(64.0, 0.007803418983207712)	(65.0, 0.004071349034717068)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383452_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.03145452462102915)	(39.0, 0.04493503517289879)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.004493503517289878)	(44.0, 0.008987007034579756)	(45.0, 0.0)	(46.0, 0.013480510551869636)	(47.0, 0.022467517586449392)	(48.0, 0.08200643919054026)	(49.0, 0.33925951555538575)	(50.0, 1.9726480440902563)	(51.0, 3.813861110299787)	(52.0, 8.510695661747029)	(53.0, 17.60554678074175)	(54.0, 19.85679204290396)	(55.0, 19.651214256987952)	(56.0, 14.375167102162061)	(57.0, 7.972598615551566)	(58.0, 4.054263548474793)	(59.0, 1.2660446159964225)	(60.0, 0.2437725658129759)	(61.0, 0.08762331858715261)	(62.0, 0.038194779896963967)	(63.0, 0.004493503517289878)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383453_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.003945979540096086)	(38.0, 0.023675877240576515)	(39.0, 0.01972989770048043)	(40.0, 0.003945979540096086)	(41.0, 0.003945979540096086)	(42.0, 0.0)	(43.0, 0.007891959080192173)	(44.0, 0.0)	(45.0, 0.003945979540096086)	(46.0, 0.01972989770048043)	(47.0, 0.014797423275360322)	(48.0, 0.06806814706665748)	(49.0, 0.5553966202685247)	(50.0, 2.3518038058972714)	(51.0, 3.590841381487439)	(52.0, 7.671970720831821)	(53.0, 16.111434462212305)	(54.0, 21.463169213467623)	(55.0, 18.991013031597422)	(56.0, 14.072349534867671)	(57.0, 8.683127977981444)	(58.0, 4.597066164211936)	(59.0, 1.3199301561621388)	(60.0, 0.30679990924247064)	(61.0, 0.08483856011206585)	(62.0, 0.01874340281545641)	(63.0, 0.007891959080192173)	(64.0, 0.003945979540096086)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383456_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.1141639394170029)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.15221858588933718)	(44.0, 0.30443717177867435)	(45.0, 0.31965903036760807)	(46.0, 0.2283278788340058)	(47.0, 0.26638252530634005)	(48.0, 0.2283278788340058)	(49.0, 0.7610929294466858)	(50.0, 2.892153131897406)	(51.0, 2.054950909506052)	(52.0, 1.7505137377273778)	(53.0, 2.131060202450721)	(54.0, 11.431615800289217)	(55.0, 40.16287388690156)	(56.0, 5.685364182966744)	(57.0, 5.190653778826397)	(58.0, 4.673110586802652)	(59.0, 4.985158687875793)	(60.0, 2.5116066671740636)	(61.0, 3.3107542430930827)	(62.0, 2.245224141867723)	(63.0, 2.549661313646397)	(64.0, 2.0168962630337175)	(65.0, 1.6363497983103745)	(66.0, 1.3319126265317)	(67.0, 0.30443717177867435)	(68.0, 0.30443717177867435)	(69.0, 0.4566557576680116)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383463_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.004344029782668192)	(39.0, 0.004344029782668192)	(40.0, 0.0)	(41.0, 0.001086007445667048)	(42.0, 0.001086007445667048)	(43.0, 0.0)	(44.0, 0.001086007445667048)	(45.0, 0.001086007445667048)	(46.0, 0.00407252792125143)	(47.0, 0.011946081902337527)	(48.0, 0.0977406701100343)	(49.0, 0.48870335055017167)	(50.0, 1.3553372921924745)	(51.0, 3.43895117744928)	(52.0, 8.4113991685527)	(53.0, 15.235869957124438)	(54.0, 19.791128187974824)	(55.0, 18.974993592556054)	(56.0, 14.771330272240357)	(57.0, 9.717051620105924)	(58.0, 4.900065594849715)	(59.0, 2.2389129499871867)	(60.0, 0.40165985377995755)	(61.0, 0.07721512938692711)	(62.0, 0.05620088531326973)	(63.0, 0.011674580040920764)	(64.0, 0.0019005130299173335)	(65.0, 0.0)	(66.0, 0.0008145055842502858)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383464_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.08965962146145184)	(49.0, 0.33020982538242016)	(50.0, 1.1316793684463737)	(51.0, 3.4125326656242843)	(52.0, 8.548279519336957)	(53.0, 15.831483648053185)	(54.0, 20.11218386782859)	(55.0, 18.37475534950851)	(56.0, 14.186994981248022)	(57.0, 9.795860349672527)	(58.0, 5.468143499130738)	(59.0, 2.1802595755382317)	(60.0, 0.31927572520419434)	(61.0, 0.07872552128322599)	(62.0, 0.13120920213871)	(63.0, 0.0)	(64.0, 0.004373640071290333)	(65.0, 0.004373640071290333)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383465_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.002798670631450062)	(39.0, 0.002798670631450062)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.016092356130837857)	(48.0, 0.13153751967815294)	(49.0, 0.5457407731327624)	(50.0, 1.5413678502711223)	(51.0, 3.708238586671328)	(52.0, 9.073989854818972)	(53.0, 16.13923386391462)	(54.0, 20.379919538219347)	(55.0, 18.83505334965891)	(56.0, 13.755466153577045)	(57.0, 8.93265698793074)	(58.0, 4.69197131362603)	(59.0, 1.792548539443765)	(60.0, 0.2987580899072942)	(61.0, 0.08256078362777683)	(62.0, 0.06087108623403885)	(63.0, 0.002798670631450062)	(64.0, 0.002798670631450062)	(65.0, 0.002798670631450062)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383466_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.13685507048036122)	(40.0, 0.27371014096072244)	(41.0, 0.37635144382099334)	(42.0, 0.10264130286027093)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.13685507048036122)	(48.0, 0.21896811276857797)	(49.0, 0.13685507048036122)	(50.0, 3.045025318188037)	(51.0, 4.071438346790747)	(52.0, 13.856575886136572)	(53.0, 11.11947447652935)	(54.0, 16.55946352812371)	(55.0, 24.907622827425797)	(56.0, 5.234706445873817)	(57.0, 2.737101409607225)	(58.0, 2.2717941699739965)	(59.0, 7.184891200218965)	(60.0, 1.8133296838647865)	(61.0, 1.402764472423703)	(62.0, 0.7869166552620771)	(63.0, 1.0606267962227995)	(64.0, 1.1632680990830706)	(65.0, 0.5132065143013547)	(66.0, 0.0)	(67.0, 0.10264130286027093)	(68.0, 0.5132065143013546)	(69.0, 0.27371014096072244)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383467_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.07657260997741107)	(43.0, 0.07657260997741107)	(44.0, 0.0)	(45.0, 0.1225161759638577)	(46.0, 0.15314521995482214)	(47.0, 0.13400206746046936)	(48.0, 0.11485891496611661)	(49.0, 0.057429457483058305)	(50.0, 0.5742945748305831)	(51.0, 2.737470806692446)	(52.0, 9.150426892300624)	(53.0, 15.199663080516096)	(54.0, 19.56430184922853)	(55.0, 14.931658945595169)	(56.0, 9.092997434817564)	(57.0, 5.206937478463953)	(58.0, 4.824074428576897)	(59.0, 12.890998889697155)	(60.0, 1.8377426394578658)	(61.0, 0.5551514223362303)	(62.0, 0.7657260997741108)	(63.0, 0.4785788123588191)	(64.0, 0.2680041349209387)	(65.0, 0.11485891496611661)	(66.0, 0.19143152494352766)	(67.0, 0.2680041349209387)	(68.0, 0.38286304988705533)	(69.0, 0.22971782993223322)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1383468_ASSEMBLED	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.10209439355930226)	(41.0, 0.1458491336561461)	(42.0, 0.04375474009684383)	(43.0, 0.11667930692491689)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.058339653462458445)	(47.0, 0.17501896038737533)	(48.0, 0.058339653462458445)	(49.0, 0.10209439355930226)	(50.0, 0.597981447990199)	(51.0, 3.2524356805320584)	(52.0, 17.268537424887693)	(53.0, 15.08080042004551)	(54.0, 13.18476168251561)	(55.0, 16.043404702176062)	(56.0, 8.021702351088036)	(57.0, 2.36567294790269)	(58.0, 3.237850767166444)	(59.0, 13.803162009217667)	(60.0, 3.1211714602415257)	(61.0, 1.0501137623242518)	(62.0, 0.6825739455107639)	(63.0, 0.5104719677965114)	(64.0, 0.37920774750597985)	(65.0, 0.2771133539466775)	(66.0, 0.058339653462458445)	(67.0, 0.04375474009684383)	(68.0, 0.10209439355930226)	(69.0, 0.11667930692491689)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
