Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
SRR1383451_ASSEMBLED	(32.0, 6.0)	(33.0, 76.0)	(34.0, 639.0)	(35.0, 4456.0)	(36.0, 25361.0)	(37.0, 39616.0)	(38.0, 1219.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 1.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 1.0)	(67.0, 1.0)	(68.0, 3.0)	(69.0, 1.0)	(70.0, 5.0)	(71.0, 23.0)	(72.0, 65.0)	(73.0, 158.0)	(74.0, 201.0)	(75.0, 72.0)	(76.0, 2.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 8.0)	(83.0, 55.0)	(84.0, 40.0)	(85.0, 6.0)	(86.0, 8.0)	(87.0, 4.0)	(88.0, 1.0)	(89.0, 16.0)	(90.0, 5.0)
SRR1383452_ASSEMBLED	(32.0, 2.0)	(33.0, 29.0)	(34.0, 190.0)	(35.0, 1567.0)	(36.0, 9382.0)	(37.0, 10449.0)	(38.0, 220.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 3.0)	(71.0, 6.0)	(72.0, 7.0)	(73.0, 17.0)	(74.0, 14.0)	(75.0, 4.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 1.0)	(83.0, 1.0)	(84.0, 3.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 1.0)		
SRR1383453_ASSEMBLED	(32.0, 2.0)	(33.0, 31.0)	(34.0, 209.0)	(35.0, 1606.0)	(36.0, 9724.0)	(37.0, 12954.0)	(38.0, 362.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 1.0)	(72.0, 7.0)	(73.0, 9.0)	(74.0, 17.0)	(75.0, 5.0)	(76.0, 2.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 1.0)	(84.0, 1.0)	(85.0, 0.0)	(86.0, 2.0)				
SRR1383456_ASSEMBLED	(33.0, 2.0)	(34.0, 5.0)	(35.0, 17.0)	(36.0, 75.0)	(37.0, 171.0)	(38.0, 118.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 1.0)	(71.0, 1.0)	(72.0, 4.0)	(73.0, 9.0)	(74.0, 9.0)	(75.0, 18.0)	(76.0, 10.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 1.0)	(82.0, 0.0)	(83.0, 2.0)	(84.0, 3.0)	(85.0, 5.0)	(86.0, 0.0)	(87.0, 3.0)	(88.0, 15.0)	(89.0, 37.0)	(90.0, 37.0)	
SRR1383463_ASSEMBLED	(32.0, 5.0)	(33.0, 106.0)	(34.0, 1586.0)	(35.0, 10782.0)	(36.0, 40086.0)	(37.0, 38821.0)	(38.0, 522.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 1.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 2.0)	(70.0, 5.0)	(71.0, 21.0)	(72.0, 84.0)	(73.0, 106.0)	(74.0, 98.0)	(75.0, 12.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 10.0)	(84.0, 10.0)	(85.0, 1.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 4.0)	
SRR1383464_ASSEMBLED	(32.0, 3.0)	(33.0, 32.0)	(34.0, 437.0)	(35.0, 3163.0)	(36.0, 11235.0)	(37.0, 7885.0)	(38.0, 44.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 2.0)	(72.0, 6.0)	(73.0, 9.0)	(74.0, 4.0)	(75.0, 1.0)															
SRR1383465_ASSEMBLED	(32.0, 1.0)	(33.0, 55.0)	(34.0, 624.0)	(35.0, 4638.0)	(36.0, 17306.0)	(37.0, 13138.0)	(38.0, 85.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 1.0)	(71.0, 2.0)	(72.0, 7.0)	(73.0, 17.0)	(74.0, 9.0)	(75.0, 1.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 1.0)							
SRR1383466_ASSEMBLED	(33.0, 1.0)	(34.0, 4.0)	(35.0, 56.0)	(36.0, 230.0)	(37.0, 243.0)	(38.0, 92.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 1.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 1.0)	(71.0, 4.0)	(72.0, 8.0)	(73.0, 5.0)	(74.0, 6.0)	(75.0, 4.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 1.0)	(81.0, 3.0)	(82.0, 3.0)	(83.0, 2.0)	(84.0, 3.0)	(85.0, 1.0)	(86.0, 1.0)	(87.0, 0.0)	(88.0, 1.0)	(89.0, 15.0)	(90.0, 10.0)	
SRR1383467_ASSEMBLED	(33.0, 1.0)	(34.0, 4.0)	(35.0, 45.0)	(36.0, 264.0)	(37.0, 533.0)	(38.0, 102.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 1.0)	(70.0, 2.0)	(71.0, 3.0)	(72.0, 15.0)	(73.0, 30.0)	(74.0, 43.0)	(75.0, 28.0)	(76.0, 9.0)	(77.0, 1.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 1.0)	(81.0, 7.0)	(82.0, 16.0)	(83.0, 24.0)	(84.0, 9.0)	(85.0, 1.0)	(86.0, 1.0)	(87.0, 0.0)	(88.0, 10.0)	(89.0, 89.0)	(90.0, 136.0)	
SRR1383468_ASSEMBLED	(33.0, 2.0)	(34.0, 8.0)	(35.0, 95.0)	(36.0, 441.0)	(37.0, 600.0)	(38.0, 86.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0)	(44.0, 0.0)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 3.0)	(71.0, 12.0)	(72.0, 29.0)	(73.0, 41.0)	(74.0, 35.0)	(75.0, 19.0)	(76.0, 7.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 1.0)	(80.0, 4.0)	(81.0, 18.0)	(82.0, 28.0)	(83.0, 32.0)	(84.0, 14.0)	(85.0, 1.0)	(86.0, 0.0)	(87.0, 1.0)	(88.0, 8.0)	(89.0, 137.0)	(90.0, 141.0)	
