Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1383451_ASSEMBLED	(1.0, 10.641369068272981)	(2.0, 3.8640369748365697)	(3.0, 2.789768074504851)	(4.0, 2.464989104637122)	(5.0, 2.3109272855973018)	(6.0, 1.8653971602659303)	(7.0, 1.7293786173298729)	(8.0, 1.709947396910436)	(9.0, 1.4490138655637137)	('>10', 30.72631126039223)	('>50', 13.185470998903522)	('>100', 22.29593748698802)	('>500', 3.2491776429929633)	('>1k', 1.7182750628044803)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383452_ASSEMBLED	(1.0, 16.907197661673365)	(2.0, 6.7957617829740595)	(3.0, 4.987212276214834)	(4.0, 4.201680672268908)	(5.0, 3.0827548410668615)	(6.0, 3.8363171355498724)	(7.0, 2.5255754475703327)	(8.0, 1.8633540372670807)	(9.0, 1.9318597004019)	('>10', 28.16039459261966)	('>50', 10.05663134819145)	('>100', 15.65126050420168)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383453_ASSEMBLED	(1.0, 17.298359603738017)	(2.0, 7.508121766333775)	(3.0, 4.752737336060642)	(4.0, 4.0267918020294395)	(5.0, 3.6497814141900293)	(6.0, 2.5508362411262184)	(7.0, 2.5829222315806364)	(8.0, 2.631051217262263)	(9.0, 1.552159788232463)	('>10', 27.766413989491838)	('>50', 8.863754863032929)	('>100', 16.81706974692175)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383456_ASSEMBLED	(1.0, 29.65009208103131)	(2.0, 10.313075506445673)	(3.0, 6.077348066298343)	(4.0, 1.4732965009208103)	(5.0, 1.841620626151013)	(6.0, 3.314917127071823)	(7.0, 0.0)	(8.0, 2.9465930018416207)	(9.0, 3.314917127071823)	('>10', 5.156537753222836)	('>50', 0.0)	('>100', 35.91160220994475)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383463_ASSEMBLED	(1.0, 10.975266090047906)	(2.0, 5.354317053608202)	(3.0, 4.002731352019249)	(4.0, 3.3990158461771913)	(5.0, 2.763868114716785)	(6.0, 2.445210379137673)	(7.0, 2.0788623702065854)	(8.0, 1.6214692939671804)	(9.0, 1.47297912466671)	('>10', 25.137109535886932)	('>50', 11.766491079751143)	('>100', 17.827491274847716)	('>500', 1.6041273763846435)	('>1k', 9.551061108582083)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383464_ASSEMBLED	(1.0, 19.92463082248806)	(2.0, 8.88655186012883)	(3.0, 5.560667805968187)	(4.0, 4.539678366416896)	(5.0, 3.9875553218526796)	(6.0, 2.892073090574471)	(7.0, 2.6685947153937164)	(8.0, 2.4538801980631875)	(9.0, 1.6563691336926516)	('>10', 26.203934972174753)	('>50', 7.988256430480697)	('>100', 8.05398536435739)	('>500', 5.1838219184084835)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383465_ASSEMBLED	(1.0, 17.405601226139055)	(2.0, 7.847289954019786)	(3.0, 5.275184617528215)	(4.0, 4.469834192559565)	(5.0, 3.3440156054061587)	(6.0, 2.7420927964330497)	(7.0, 2.438344712275324)	(8.0, 1.7388881148112025)	(9.0, 1.8810087780409643)	('>10', 27.379127769262922)	('>50', 8.045144210672984)	('>100', 8.836561237285775)	('>500', 5.188797547721889)	('>1k', 3.40810923784311)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383466_ASSEMBLED	(1.0, 24.172661870503596)	(2.0, 6.043165467625899)	(3.0, 2.5899280575539567)	(4.0, 2.302158273381295)	(5.0, 1.4388489208633095)	(6.0, 1.7266187050359711)	(7.0, 1.0071942446043165)	(8.0, 4.60431654676259)	(9.0, 1.2949640287769784)	('>10', 28.345323741007196)	('>50', 10.79136690647482)	('>100', 15.683453237410072)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383467_ASSEMBLED	(1.0, 23.345454545454544)	(2.0, 3.490909090909091)	(3.0, 1.9636363636363636)	(4.0, 1.1636363636363636)	(5.0, 1.8181818181818181)	(6.0, 3.0545454545454547)	(7.0, 1.5272727272727273)	(8.0, 2.327272727272727)	(9.0, 1.309090909090909)	('>10', 19.636363636363637)	('>50', 29.672727272727272)	('>100', 10.690909090909091)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1383468_ASSEMBLED	(1.0, 14.917753828701077)	(2.0, 2.4957458876914353)	(3.0, 1.3613159387407827)	(4.0, 1.1344299489506522)	(5.0, 0.5672149744753261)	(6.0, 2.0419739081111743)	(7.0, 0.39705048213272826)	(8.0, 0.45377197958026094)	(9.0, 0.5104934770277936)	('>10', 17.81055019852524)	('>50', 18.888258650028362)	('>100', 39.421440726035165)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
