Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR1383451_ASSEMBLED	(220, 1.0)	(225, 52.0)	(230, 32.0)	(235, 135.0)	(240, 131.0)	(245, 65.0)	(250, 50.0)	(255, 63.0)	(260, 138.0)	(265, 169.0)	(270, 211.0)	(275, 420.0)	(280, 116.0)	(285, 62.0)	(290, 48.0)	(295, 50.0)	(300, 42.0)	(305, 40.0)	(310, 58.0)	(315, 381.0)	(320, 818.0)	(325, 3233.0)	(330, 8474.0)	(335, 9613.0)	(340, 14344.0)	(345, 9786.0)	(350, 9397.0)	(355, 6344.0)	(360, 4334.0)	(365, 1704.0)	(370, 1013.0)	(375, 366.0)	(380, 254.0)	(385, 74.0)	(390, 20.0)	(395, 3.0)	(400, 3.0)	(405, 4.0)	(410, 0.0)	(415, 1.0)
SRR1383452_ASSEMBLED	(225, 18.0)	(230, 5.0)	(235, 44.0)	(240, 26.0)	(245, 25.0)	(250, 36.0)	(255, 29.0)	(260, 68.0)	(265, 64.0)	(270, 59.0)	(275, 135.0)	(280, 43.0)	(285, 30.0)	(290, 9.0)	(295, 12.0)	(300, 14.0)	(305, 9.0)	(310, 26.0)	(315, 177.0)	(320, 308.0)	(325, 1104.0)	(330, 3030.0)	(335, 3219.0)	(340, 4056.0)	(345, 2922.0)	(350, 2580.0)	(355, 1816.0)	(360, 1168.0)	(365, 434.0)	(370, 264.0)	(375, 91.0)	(380, 53.0)	(385, 17.0)	(390, 2.0)	(395, 2.0)	(400, 1.0)				
SRR1383453_ASSEMBLED	(225, 17.0)	(230, 7.0)	(235, 69.0)	(240, 55.0)	(245, 32.0)	(250, 37.0)	(255, 41.0)	(260, 61.0)	(265, 74.0)	(270, 209.0)	(275, 184.0)	(280, 54.0)	(285, 29.0)	(290, 26.0)	(295, 17.0)	(300, 17.0)	(305, 6.0)	(310, 18.0)	(315, 195.0)	(320, 467.0)	(325, 1271.0)	(330, 2920.0)	(335, 3814.0)	(340, 4651.0)	(345, 3327.0)	(350, 3332.0)	(355, 1776.0)	(360, 1344.0)	(365, 458.0)	(370, 254.0)	(375, 79.0)	(380, 65.0)	(385, 25.0)	(390, 2.0)						
SRR1383456_ASSEMBLED	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 233.0)	(230, 14.0)	(240, 8.0)	(250, 9.0)	(260, 23.0)	(270, 33.0)	(280, 21.0)	(290, 19.0)	(300, 14.0)	(310, 24.0)	(320, 10.0)	(330, 28.0)	(340, 36.0)	(350, 31.0)	(360, 9.0)	(370, 2.0)	(380, 11.0)	(390, 11.0)	(400, 1.0)	(410, 1.0)	(420, 4.0)													
SRR1383463_ASSEMBLED	(225, 17.0)	(230, 8.0)	(235, 3.0)	(240, 6.0)	(245, 6.0)	(250, 11.0)	(255, 10.0)	(260, 21.0)	(265, 40.0)	(270, 93.0)	(275, 123.0)	(280, 92.0)	(285, 106.0)	(290, 107.0)	(295, 144.0)	(300, 134.0)	(305, 121.0)	(310, 249.0)	(315, 2186.0)	(320, 3416.0)	(325, 5560.0)	(330, 9175.0)	(335, 12052.0)	(340, 20539.0)	(345, 12966.0)	(350, 10724.0)	(355, 9265.0)	(360, 2732.0)	(365, 1663.0)	(370, 395.0)	(375, 199.0)	(380, 80.0)	(385, 13.0)	(390, 2.0)	(395, 1.0)	(400, 1.0)	(405, 1.0)	(410, 0.0)	(415, 1.0)	
SRR1383464_ASSEMBLED	(225, 2.0)	(230, 2.0)	(235, 1.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 1.0)	(260, 2.0)	(265, 6.0)	(270, 20.0)	(275, 22.0)	(280, 11.0)	(285, 22.0)	(290, 19.0)	(295, 25.0)	(300, 26.0)	(305, 26.0)	(310, 50.0)	(315, 684.0)	(320, 1027.0)	(325, 1700.0)	(330, 2453.0)	(335, 3061.0)	(340, 4944.0)	(345, 2972.0)	(350, 2263.0)	(355, 2323.0)	(360, 626.0)	(365, 390.0)	(370, 96.0)	(375, 35.0)	(380, 11.0)	(385, 1.0)							
SRR1383465_ASSEMBLED	(225, 16.0)	(230, 6.0)	(235, 3.0)	(240, 4.0)	(245, 4.0)	(250, 2.0)	(255, 4.0)	(260, 12.0)	(265, 16.0)	(270, 64.0)	(275, 96.0)	(280, 49.0)	(285, 44.0)	(290, 53.0)	(295, 51.0)	(300, 52.0)	(305, 50.0)	(310, 88.0)	(315, 1113.0)	(320, 1658.0)	(325, 2352.0)	(330, 3962.0)	(335, 4937.0)	(340, 7902.0)	(345, 4651.0)	(350, 3652.0)	(355, 3330.0)	(360, 922.0)	(365, 580.0)	(370, 132.0)	(375, 55.0)	(380, 22.0)	(385, 2.0)	(390, 1.0)						
SRR1383466_ASSEMBLED	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 128.0)	(230, 7.0)	(240, 8.0)	(250, 7.0)	(260, 14.0)	(270, 32.0)	(280, 21.0)	(290, 9.0)	(300, 4.0)	(310, 19.0)	(320, 11.0)	(330, 51.0)	(340, 172.0)	(350, 47.0)	(360, 103.0)	(370, 57.0)	(380, 0.0)	(390, 2.0)	(400, 1.0)	(410, 0.0)	(420, 1.0)													
SRR1383467_ASSEMBLED	(225, 82.0)	(230, 1.0)	(235, 1.0)	(240, 2.0)	(245, 1.0)	(250, 3.0)	(255, 2.0)	(260, 5.0)	(265, 3.0)	(270, 10.0)	(275, 7.0)	(280, 0.0)	(285, 5.0)	(290, 1.0)	(295, 1.0)	(300, 4.0)	(305, 5.0)	(310, 4.0)	(315, 13.0)	(320, 11.0)	(325, 35.0)	(330, 57.0)	(335, 100.0)	(340, 308.0)	(345, 229.0)	(350, 156.0)	(355, 53.0)	(360, 106.0)	(365, 18.0)	(370, 110.0)	(375, 31.0)	(380, 1.0)	(385, 0.0)	(390, 8.0)	(395, 0.0)	(400, 0.0)	(405, 0.0)	(410, 0.0)	(415, 2.0)	
SRR1383468_ASSEMBLED	(225, 119.0)	(230, 5.0)	(235, 5.0)	(240, 3.0)	(245, 9.0)	(250, 5.0)	(255, 1.0)	(260, 8.0)	(265, 5.0)	(270, 16.0)	(275, 8.0)	(280, 4.0)	(285, 12.0)	(290, 4.0)	(295, 4.0)	(300, 6.0)	(305, 10.0)	(310, 2.0)	(315, 12.0)	(320, 5.0)	(325, 21.0)	(330, 32.0)	(335, 61.0)	(340, 479.0)	(345, 310.0)	(350, 167.0)	(355, 46.0)	(360, 216.0)	(365, 34.0)	(370, 119.0)	(375, 23.0)	(380, 1.0)	(385, 2.0)	(390, 3.0)	(395, 0.0)	(400, 1.0)	(405, 1.0)	(410, 3.0)	(415, 0.0)	(420, 1.0)
