Sample	Output_file	start_seqs	start_sets	pass_sets	fail_sets	process
SRR1383468	SRR1383468_R1_cluster-pass.fastq	23526	4703	4703	0	cluster_sets
SRR1383468	SRR1383468_R2_cluster-pass.fastq	23526	4703	4703	0	cluster_sets
SRR1383463	SRR1383463_R1_cluster-pass.fastq	96149	94233	94233	0	cluster_sets
SRR1383463	SRR1383463_R2_cluster-pass.fastq	96149	94233	94233	0	cluster_sets
SRR1383452	SRR1383452_R1_cluster-pass.fastq	24140	23575	23575	0	cluster_sets
SRR1383452	SRR1383452_R2_cluster-pass.fastq	24140	23575	23575	0	cluster_sets
SRR1383456	SRR1383456_R1_cluster-pass.fastq	10389	4410	4410	0	cluster_sets
SRR1383456	SRR1383456_R2_cluster-pass.fastq	10389	4410	4410	0	cluster_sets
SRR1383467	SRR1383467_R1_cluster-pass.fastq	29273	3692	3692	0	cluster_sets
SRR1383467	SRR1383467_R2_cluster-pass.fastq	29273	3692	3692	0	cluster_sets
SRR1383466	SRR1383466_R1_cluster-pass.fastq	5501	3772	3772	0	cluster_sets
SRR1383466	SRR1383466_R2_cluster-pass.fastq	5501	3772	3772	0	cluster_sets
SRR1383464	SRR1383464_R1_cluster-pass.fastq	23200	23037	23037	0	cluster_sets
SRR1383464	SRR1383464_R2_cluster-pass.fastq	23200	23037	23037	0	cluster_sets
SRR1383465	SRR1383465_R1_cluster-pass.fastq	36937	36736	36736	0	cluster_sets
SRR1383465	SRR1383465_R2_cluster-pass.fastq	36937	36736	36736	0	cluster_sets
SRR1383451	SRR1383451_R1_cluster-pass.fastq	84333	78288	78288	0	cluster_sets
SRR1383451	SRR1383451_R2_cluster-pass.fastq	84333	78288	78288	0	cluster_sets
SRR1383453	SRR1383453_R1_cluster-pass.fastq	27422	26910	26910	0	cluster_sets
SRR1383453	SRR1383453_R2_cluster-pass.fastq	27422	26910	26910	0	cluster_sets
