task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c5/07b1f5	7711	NFCORE_AIRRFLOW:AIRRFLOW:DATABASES:UNZIP_REFERENCE_FASTA (unzip_db)	COMPLETED	0	2025-01-28 09:47:01.974	15s	300ms	8.1%	0	0	397.3 KB	1.9 MB
3	24/50dd6a	8270	NFCORE_AIRRFLOW:AIRRFLOW:DATABASES:UNZIP_IGBLAST (unzip_db)	COMPLETED	0	2025-01-28 09:47:17.012	4.6s	72ms	108.5%	5.4 MB	7.5 MB	1.2 MB	8.1 MB
2	c8/1f31f0	7683	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:FASTQ_INPUT_CHECK:SAMPLESHEET_CHECK (metadata_pcr_umi_airr_300.tsv)	COMPLETED	0	2025-01-28 09:47:01.865	23.7s	10s	13.3%	42.5 MB	1 GB	9.9 MB	3.4 KB
7	62/a42276	8988	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTP (SRR1383456)	COMPLETED	0	2025-01-28 09:47:33.993	22.4s	9s	124.3%	1.1 GB	1.2 GB	48.4 MB	19.2 MB
14	ca/078d5c	10293	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:RENAME_FASTQ_UMI (SRR1383456)	COMPLETED	0	2025-01-28 09:47:56.528	5.8s	0ms	100.0%	0	0	72.3 KB	211 B
15	bc/c8bb9d	10512	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:GUNZIP_UMI (SRR1383456)	COMPLETED	0	2025-01-28 09:48:02.360	6.3s	579ms	73.0%	3.6 MB	7.8 MB	18.6 MB	61.3 MB
16	2f/812ca4	10824	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:PRESTO_FILTERSEQ_UMI (SRR1383456)	COMPLETED	0	2025-01-28 09:48:08.702	38.9s	25s	250.0%	545.8 MB	8.2 GB	485.2 MB	333.9 MB
5	81/2fb662	12889	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTP (SRR1383452)	COMPLETED	0	2025-01-28 09:48:47.564	54.7s	47s	208.1%	2.8 GB	3.4 GB	452.8 MB	417.7 MB
6	e0/7b7004	15235	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTP (SRR1383453)	COMPLETED	0	2025-01-28 09:49:42.286	47.3s	42s	191.9%	2.8 GB	3.2 GB	366.7 MB	326.5 MB
4	5e/058d35	17254	NFCORE_AIRRFLOW:AIRRFLOW:SEQUENCE_ASSEMBLY:PRESTO_UMI:FASTP (SRR1383451)	COMPLETED	0	2025-01-28 09:50:29.582	48.2s	42s	211.3%	2.7 GB	3.2 GB	434.8 MB	398.3 MB
