ID	QUALITY
SRR1383456.1	5
SRR1383456.2	3
SRR1383456.3	11
SRR1383456.4	21
SRR1383456.5	4
SRR1383456.6	17
SRR1383456.8	4
SRR1383456.7	20
SRR1383456.9	3
SRR1383456.10	26
SRR1383456.13	23
SRR1383456.14	18
SRR1383456.11	21
SRR1383456.15	20
SRR1383456.12	26
SRR1383456.17	8
SRR1383456.19	19
SRR1383456.18	12
SRR1383456.16	13
SRR1383456.21	13
SRR1383456.20	10
SRR1383456.22	21
SRR1383456.23	15
SRR1383456.25	25
SRR1383456.24	13
SRR1383456.26	26
SRR1383456.27	23
SRR1383456.28	27
SRR1383456.29	10
SRR1383456.30	22
SRR1383456.31	23
SRR1383456.32	20
SRR1383456.33	13
SRR1383456.34	20
SRR1383456.35	10
SRR1383456.37	14
SRR1383456.39	26
SRR1383456.38	22
SRR1383456.42	6
SRR1383456.41	20
SRR1383456.45	24
SRR1383456.43	32
SRR1383456.46	9
SRR1383456.36	14
SRR1383456.44	27
SRR1383456.47	31
SRR1383456.48	31
SRR1383456.49	30
SRR1383456.40	25
SRR1383456.50	25
SRR1383456.51	9
SRR1383456.55	23
SRR1383456.53	3
SRR1383456.54	14
SRR1383456.52	25
SRR1383456.56	22
SRR1383456.57	25
SRR1383456.58	33
SRR1383456.59	3
SRR1383456.60	33
SRR1383456.61	30
SRR1383456.62	29
SRR1383456.63	22
SRR1383456.64	13
SRR1383456.65	23
SRR1383456.66	14
SRR1383456.67	5
SRR1383456.68	24
SRR1383456.69	24
SRR1383456.70	14
SRR1383456.71	27
SRR1383456.72	23
SRR1383456.73	14
SRR1383456.74	36
SRR1383456.75	31
SRR1383456.76	23
SRR1383456.77	36
SRR1383456.78	14
SRR1383456.79	14
SRR1383456.80	26
SRR1383456.81	27
SRR1383456.82	22
SRR1383456.83	22
SRR1383456.84	7
SRR1383456.85	36
SRR1383456.86	29
SRR1383456.87	13
SRR1383456.88	28
SRR1383456.89	16
SRR1383456.90	2
SRR1383456.94	12
SRR1383456.92	20
SRR1383456.93	33
SRR1383456.91	17
SRR1383456.98	21
SRR1383456.96	20
SRR1383456.100	21
SRR1383456.95	22
SRR1383456.99	23
SRR1383456.97	2
SRR1383456.101	37
SRR1383456.102	27
SRR1383456.103	6
SRR1383456.104	23
SRR1383456.108	16
SRR1383456.106	36
SRR1383456.107	5
SRR1383456.105	14
SRR1383456.109	24
SRR1383456.110	22
SRR1383456.111	13
SRR1383456.112	16
SRR1383456.113	18
SRR1383456.114	11
SRR1383456.115	22
SRR1383456.116	14
SRR1383456.117	27
SRR1383456.118	28
SRR1383456.119	25
SRR1383456.120	36
SRR1383456.121	16
SRR1383456.122	16
SRR1383456.123	17
SRR1383456.124	3
SRR1383456.125	13
SRR1383456.127	33
SRR1383456.126	31
SRR1383456.128	36
SRR1383456.129	14
SRR1383456.130	36
SRR1383456.131	14
SRR1383456.132	12
SRR1383456.133	30
SRR1383456.134	5
SRR1383456.135	15
SRR1383456.136	9
SRR1383456.137	3
SRR1383456.138	31
SRR1383456.139	22
SRR1383456.140	18
SRR1383456.143	28
SRR1383456.142	35
SRR1383456.141	37
SRR1383456.144	26
SRR1383456.145	14
SRR1383456.146	26
SRR1383456.147	22
SRR1383456.148	27
SRR1383456.149	26
SRR1383456.150	24
SRR1383456.151	36
SRR1383456.152	22
SRR1383456.153	25
SRR1383456.154	15
SRR1383456.155	19
SRR1383456.156	19
SRR1383456.157	19
SRR1383456.158	7
SRR1383456.159	18
SRR1383456.160	18
SRR1383456.161	10
SRR1383456.163	24
SRR1383456.164	4
SRR1383456.168	20
SRR1383456.167	28
SRR1383456.162	12
SRR1383456.165	18
SRR1383456.170	35
SRR1383456.166	24
SRR1383456.169	23
SRR1383456.172	6
SRR1383456.171	30
SRR1383456.174	21
SRR1383456.175	20
SRR1383456.173	28
SRR1383456.176	28
SRR1383456.179	16
SRR1383456.178	25
SRR1383456.177	16
SRR1383456.181	21
SRR1383456.180	24
SRR1383456.183	25
SRR1383456.182	24
SRR1383456.184	27
SRR1383456.185	27
SRR1383456.186	34
SRR1383456.187	24
SRR1383456.188	10
SRR1383456.189	26
SRR1383456.190	23
SRR1383456.191	20
SRR1383456.192	12
SRR1383456.193	14
SRR1383456.194	17
SRR1383456.198	8
SRR1383456.197	11
SRR1383456.196	30
SRR1383456.195	11
SRR1383456.199	2
SRR1383456.200	5
SRR1383456.201	19
SRR1383456.202	35
SRR1383456.203	22
SRR1383456.206	21
SRR1383456.205	11
SRR1383456.208	20
SRR1383456.204	31
SRR1383456.209	16
SRR1383456.210	25
SRR1383456.207	23
SRR1383456.212	33
SRR1383456.211	6
SRR1383456.213	10
SRR1383456.214	20
SRR1383456.215	26
SRR1383456.216	22
SRR1383456.217	28
SRR1383456.218	15
SRR1383456.219	24
SRR1383456.220	35
SRR1383456.221	17
SRR1383456.222	16
SRR1383456.223	27
SRR1383456.224	21
SRR1383456.225	17
SRR1383456.226	24
SRR1383456.227	18
SRR1383456.228	30
SRR1383456.229	16
SRR1383456.233	4
SRR1383456.231	4
SRR1383456.232	16
SRR1383456.230	36
SRR1383456.234	19
SRR1383456.235	21
SRR1383456.236	23
SRR1383456.237	9
SRR1383456.238	16
SRR1383456.239	28
SRR1383456.240	27
SRR1383456.241	17
SRR1383456.242	30
SRR1383456.243	17
SRR1383456.244	28
SRR1383456.245	12
SRR1383456.246	23
SRR1383456.247	7
SRR1383456.248	4
SRR1383456.249	23
SRR1383456.250	7
SRR1383456.251	13
SRR1383456.252	29
SRR1383456.255	26
SRR1383456.254	26
SRR1383456.258	4
SRR1383456.257	24
SRR1383456.256	5
SRR1383456.253	23
SRR1383456.259	21
SRR1383456.263	25
SRR1383456.261	27
SRR1383456.265	3
SRR1383456.264	18
SRR1383456.262	23
SRR1383456.260	7
SRR1383456.266	29
SRR1383456.268	3
SRR1383456.269	11
SRR1383456.267	21
SRR1383456.270	18
SRR1383456.272	16
SRR1383456.271	23
SRR1383456.274	29
SRR1383456.273	16
SRR1383456.276	30
SRR1383456.277	33
SRR1383456.278	9
SRR1383456.279	7
SRR1383456.275	23
SRR1383456.282	23
SRR1383456.283	6
SRR1383456.280	11
SRR1383456.281	21
SRR1383456.284	32
SRR1383456.286	34
SRR1383456.285	9
SRR1383456.287	19
SRR1383456.289	5
SRR1383456.291	4
SRR1383456.288	36
SRR1383456.290	27
SRR1383456.292	2
SRR1383456.296	30
SRR1383456.294	29
SRR1383456.295	31
SRR1383456.297	22
SRR1383456.299	11
SRR1383456.293	22
SRR1383456.300	30
SRR1383456.301	19
SRR1383456.302	16
SRR1383456.298	17
SRR1383456.303	22
SRR1383456.306	17
SRR1383456.305	25
SRR1383456.307	28
SRR1383456.308	7
SRR1383456.309	4
SRR1383456.310	3
SRR1383456.313	12
SRR1383456.311	3
SRR1383456.312	37
SRR1383456.304	20
SRR1383456.314	14
SRR1383456.315	27
SRR1383456.316	37
SRR1383456.317	28
SRR1383456.318	26
SRR1383456.319	7
SRR1383456.320	29
SRR1383456.321	20
SRR1383456.322	10
SRR1383456.323	17
SRR1383456.325	33
SRR1383456.324	18
SRR1383456.326	8
SRR1383456.327	33
SRR1383456.328	26
SRR1383456.330	16
SRR1383456.331	22
SRR1383456.332	27
SRR1383456.333	22
SRR1383456.334	37
SRR1383456.335	27
SRR1383456.336	19
SRR1383456.337	31
SRR1383456.338	11
SRR1383456.329	26
SRR1383456.339	8
SRR1383456.340	33
SRR1383456.341	22
SRR1383456.342	16
SRR1383456.343	31
SRR1383456.344	34
SRR1383456.345	36
SRR1383456.346	22
SRR1383456.347	22
SRR1383456.348	22
SRR1383456.349	23
SRR1383456.350	28
SRR1383456.351	4
SRR1383456.352	28
SRR1383456.353	24
SRR1383456.354	31
SRR1383456.355	28
SRR1383456.356	31
SRR1383456.357	17
SRR1383456.358	7
SRR1383456.359	10
SRR1383456.360	30
SRR1383456.361	7
SRR1383456.362	8
SRR1383456.363	30
SRR1383456.364	21
SRR1383456.365	37
SRR1383456.366	10
SRR1383456.367	15
SRR1383456.368	7
SRR1383456.369	17
SRR1383456.370	3
SRR1383456.374	17
SRR1383456.372	9
SRR1383456.373	35
SRR1383456.375	25
SRR1383456.371	15
SRR1383456.376	20
SRR1383456.377	20
SRR1383456.378	10
SRR1383456.379	27
SRR1383456.380	16
SRR1383456.381	24
SRR1383456.382	15
SRR1383456.383	29
SRR1383456.384	37
SRR1383456.385	16
SRR1383456.386	24
SRR1383456.387	13
SRR1383456.388	16
SRR1383456.392	29
SRR1383456.390	20
SRR1383456.391	30
SRR1383456.389	20
SRR1383456.393	24
SRR1383456.394	29
SRR1383456.395	30
SRR1383456.396	25
SRR1383456.397	24
SRR1383456.398	10
SRR1383456.399	30
SRR1383456.400	23
SRR1383456.401	31
SRR1383456.402	24
SRR1383456.403	23
SRR1383456.404	36
SRR1383456.405	22
SRR1383456.406	27
SRR1383456.407	32
SRR1383456.408	4
SRR1383456.409	30
SRR1383456.410	26
SRR1383456.411	10
SRR1383456.412	20
SRR1383456.413	37
SRR1383456.414	14
SRR1383456.415	24
SRR1383456.416	22
SRR1383456.417	29
SRR1383456.418	23
SRR1383456.419	16
SRR1383456.420	28
SRR1383456.421	26
SRR1383456.422	3
SRR1383456.423	19
SRR1383456.424	16
SRR1383456.425	16
SRR1383456.426	35
SRR1383456.427	35
SRR1383456.428	27
SRR1383456.429	10
SRR1383456.430	30
SRR1383456.431	26
SRR1383456.432	28
SRR1383456.433	22
SRR1383456.434	25
SRR1383456.435	28
SRR1383456.436	2
SRR1383456.440	34
SRR1383456.438	24
SRR1383456.439	34
SRR1383456.437	9
SRR1383456.443	16
SRR1383456.442	9
SRR1383456.444	34
SRR1383456.441	5
SRR1383456.445	12
SRR1383456.446	5
SRR1383456.447	22
SRR1383456.448	22
SRR1383456.449	17
SRR1383456.451	31
SRR1383456.450	26
SRR1383456.452	9
SRR1383456.453	31
SRR1383456.454	22
SRR1383456.455	11
SRR1383456.456	36
SRR1383456.457	24
SRR1383456.459	4
SRR1383456.458	29
SRR1383456.460	22
SRR1383456.461	37
SRR1383456.462	25
SRR1383456.463	27
SRR1383456.464	27
SRR1383456.465	21
SRR1383456.466	10
SRR1383456.467	26
SRR1383456.468	20
SRR1383456.469	20
SRR1383456.470	12
SRR1383456.471	33
SRR1383456.472	25
SRR1383456.473	19
SRR1383456.474	23
SRR1383456.475	16
SRR1383456.476	24
SRR1383456.477	22
SRR1383456.479	27
SRR1383456.478	34
SRR1383456.480	36
SRR1383456.481	25
SRR1383456.482	20
SRR1383456.483	35
SRR1383456.484	10
SRR1383456.485	23
SRR1383456.486	28
SRR1383456.487	5
SRR1383456.488	22
SRR1383456.489	17
SRR1383456.490	26
SRR1383456.491	11
SRR1383456.493	20
SRR1383456.492	32
SRR1383456.494	35
SRR1383456.495	30
SRR1383456.496	30
SRR1383456.497	22
SRR1383456.498	27
SRR1383456.502	11
SRR1383456.500	7
SRR1383456.501	21
SRR1383456.499	28
SRR1383456.503	15
SRR1383456.504	23
SRR1383456.505	24
SRR1383456.506	8
SRR1383456.510	27
SRR1383456.507	14
SRR1383456.509	13
SRR1383456.508	35
SRR1383456.511	29
SRR1383456.513	37
SRR1383456.512	29
SRR1383456.514	5
SRR1383456.515	22
SRR1383456.516	33
SRR1383456.517	27
SRR1383456.518	26
SRR1383456.519	12
SRR1383456.520	27
SRR1383456.521	20
SRR1383456.522	35
SRR1383456.523	35
SRR1383456.524	22
SRR1383456.525	27
SRR1383456.526	30
SRR1383456.530	22
SRR1383456.528	30
SRR1383456.529	35
SRR1383456.527	34
SRR1383456.531	31
SRR1383456.532	16
SRR1383456.533	10
SRR1383456.534	7
SRR1383456.535	26
SRR1383456.536	34
SRR1383456.537	24
SRR1383456.541	36
SRR1383456.540	33
SRR1383456.542	26
SRR1383456.544	20
SRR1383456.539	16
SRR1383456.545	7
SRR1383456.543	18
SRR1383456.538	12
SRR1383456.548	24
SRR1383456.549	26
SRR1383456.546	33
SRR1383456.550	24
SRR1383456.551	4
SRR1383456.552	17
SRR1383456.553	36
SRR1383456.555	36
SRR1383456.557	31
SRR1383456.554	25
SRR1383456.556	10
SRR1383456.559	10
SRR1383456.558	28
SRR1383456.561	7
SRR1383456.560	32
SRR1383456.563	36
SRR1383456.562	25
SRR1383456.564	2
SRR1383456.566	25
SRR1383456.565	26
SRR1383456.567	11
SRR1383456.568	30
SRR1383456.547	6
SRR1383456.569	11
SRR1383456.570	16
SRR1383456.571	16
SRR1383456.573	18
SRR1383456.572	27
SRR1383456.574	28
SRR1383456.575	30
SRR1383456.576	18
SRR1383456.577	32
SRR1383456.578	4
SRR1383456.579	26
SRR1383456.580	27
SRR1383456.581	26
SRR1383456.582	2
SRR1383456.583	17
SRR1383456.585	28
SRR1383456.584	36
SRR1383456.586	36
SRR1383456.590	27
SRR1383456.587	19
SRR1383456.589	31
SRR1383456.588	25
SRR1383456.592	13
SRR1383456.593	30
SRR1383456.591	20
SRR1383456.594	24
SRR1383456.595	13
SRR1383456.596	14
SRR1383456.597	16
SRR1383456.598	12
SRR1383456.599	37
SRR1383456.603	20
SRR1383456.601	36
SRR1383456.602	36
SRR1383456.600	5
SRR1383456.604	36
SRR1383456.608	12
