ID	PRIMER	ERROR
SRR1383465.44	20100505_IGHV_left_17	0.5714285714285714
SRR1383465.929	20100505_IGHV_left_32	0.0
SRR1383465.1261	20100505_IGHV_left_32	0.6086956521739131
SRR1383465.1505	20100505_IGHV_left_3	0.5769230769230769
SRR1383465.1547	20100505_IGHV_left_14	0.0
SRR1383465.1638	20100505_IGHV_left_33	0.0
SRR1383465.573	20100505_IGHV_left_41	0.0
SRR1383465.891	20100505_IGHV_left_2	0.0
SRR1383465.2289	20100505_IGHV_left_14	0.0
SRR1383465.2836	20100505_IGHV_left_30	0.0
SRR1383465.1484	20100505_IGHV_left_33	0.0
SRR1383465.2593	20100505_IGHV_left_13	0.0
SRR1383465.2411	20100505_IGHV_left_33	0.0
SRR1383465.2955	20100505_IGHV_left_2	0.0
SRR1383465.4039	20100505_IGHV_left_44	0.6923076923076923
SRR1383465.3591	20100505_IGHV_left_26	0.0
SRR1383465.4057	20100505_IGHV_left_2	0.04347826086956519
SRR1383465.4576	20100505_IGHV_left_2	0.0
SRR1383465.4741	20100505_IGHV_left_10	0.0
SRR1383465.5119	20100505_IGHV_left_14	0.0
SRR1383465.5061	20100505_IGHV_left_2	0.0
SRR1383465.1744	20100505_IGHV_left_9	0.5416666666666667
SRR1383465.2448	20100505_IGHV_left_3	0.6923076923076923
SRR1383465.3067	20100505_IGHV_left_44	0.0
SRR1383465.3974	20100505_IGHV_left_32	0.0
SRR1383465.4130	20100505_IGHV_left_28	0.0
SRR1383465.5237	20100505_IGHV_left_40	0.0
SRR1383465.4816	20100505_IGHV_left_2	0.0
SRR1383465.5182	20100505_IGHV_left_28	0.04166666666666663
SRR1383465.5126	20100505_IGHV_left_13	0.0
SRR1383465.5281	20100505_IGHV_left_12	0.0
SRR1383465.4602	20100505_IGHV_left_6	0.6086956521739131
SRR1383465.5481	20100505_IGHV_left_37	0.0
SRR1383465.6547	20100505_IGHV_left_2	0.0
SRR1383465.6379	20100505_IGHV_left_9	0.5416666666666667
SRR1383465.6713	20100505_IGHV_left_9	0.0
SRR1383465.5500	20100505_IGHV_left_2	0.0
SRR1383465.6684	20100505_IGHV_left_20	0.6666666666666667
SRR1383465.6847	20100505_IGHV_left_21	0.0
SRR1383465.7196	20100505_IGHV_left_2	0.0
SRR1383465.6880	20100505_IGHV_left_35	0.0
SRR1383465.7125	20100505_IGHV_left_2	0.0
SRR1383465.7310	20100505_IGHV_left_9	0.0
SRR1383465.7550	20100505_IGHV_left_28	0.04166666666666663
SRR1383465.7278	20100505_IGHV_left_15	0.0
SRR1383465.7346	20100505_IGHV_left_2	0.0
SRR1383465.7335	20100505_IGHV_left_34	0.07692307692307687
SRR1383465.7754	20100505_IGHV_left_35	0.0
SRR1383465.5717	20100505_IGHV_left_2	0.0
SRR1383465.6992	20100505_IGHV_left_21	0.0
SRR1383465.7295	20100505_IGHV_left_33	0.0
SRR1383465.7703	20100505_IGHV_left_6	0.0
SRR1383465.7948	20100505_IGHV_left_35	0.0
SRR1383465.8016	20100505_IGHV_left_5	0.5652173913043479
SRR1383465.8440	20100505_IGHV_left_2	0.0
SRR1383465.7941	20100505_IGHV_left_2	0.0
SRR1383465.8272	20100505_IGHV_left_15	0.0
SRR1383465.8519	20100505_IGHV_left_6	0.0
SRR1383465.8375	20100505_IGHV_left_2	0.0
SRR1383465.8533	20100505_IGHV_left_33	0.0
SRR1383465.8598	20100505_IGHV_left_21	0.0
SRR1383465.8888	20100505_IGHV_left_26	0.0
SRR1383465.8547	20100505_IGHV_left_2	0.0
SRR1383465.8206	20100505_IGHV_left_15	0.0
SRR1383465.8905	20100505_IGHV_left_36	0.0
SRR1383465.8899	20100505_IGHV_left_2	0.0
SRR1383465.9221	20100505_IGHV_left_33	0.0
SRR1383465.9633	20100505_IGHV_left_11	0.0
SRR1383465.9009	20100505_IGHV_left_7	0.0
SRR1383465.9550	20100505_IGHV_left_16	0.0
SRR1383465.9214	20100505_IGHV_left_35	0.0
SRR1383465.9038	20100505_IGHV_left_14	0.0
SRR1383465.9261	20100505_IGHV_left_13	0.0
SRR1383465.9645	20100505_IGHV_left_44	0.0
SRR1383465.10423	20100505_IGHV_left_8	0.0
SRR1383465.10205	20100505_IGHV_left_43	0.038461538461538436
SRR1383465.9877	20100505_IGHV_left_3	0.0
SRR1383465.10430	20100505_IGHV_left_14	0.0
SRR1383465.10648	20100505_IGHV_left_22	0.0
SRR1383465.11080	20100505_IGHV_left_30	0.0
SRR1383465.10699	20100505_IGHV_left_21	0.0
SRR1383465.11138	20100505_IGHV_left_40	0.0
SRR1383465.11557	20100505_IGHV_left_2	0.0
SRR1383465.11272	20100505_IGHV_left_13	0.0
SRR1383465.11770	20100505_IGHV_left_38	0.0
SRR1383465.11960	20100505_IGHV_left_2	0.0
SRR1383465.11388	20100505_IGHV_left_2	0.0
SRR1383465.10046	20100505_IGHV_left_21	0.0
SRR1383465.11765	20100505_IGHV_left_1	0.0
SRR1383465.10750	20100505_IGHV_left_2	0.0
SRR1383465.11448	20100505_IGHV_left_16	0.0
SRR1383465.11654	20100505_IGHV_left_28	0.0
SRR1383465.11984	20100505_IGHV_left_33	0.04347826086956519
SRR1383465.12173	20100505_IGHV_left_40	0.0
SRR1383465.12113	20100505_IGHV_left_43	0.0
SRR1383465.12383	20100505_IGHV_left_2	0.0
SRR1383465.12437	20100505_IGHV_left_10	0.0
SRR1383465.11803	20100505_IGHV_left_21	0.0
SRR1383465.12363	20100505_IGHV_left_11	0.6521739130434783
SRR1383465.12532	20100505_IGHV_left_38	0.5238095238095238
SRR1383465.12755	20100505_IGHV_left_2	0.0
SRR1383465.12922	20100505_IGHV_left_14	0.0
SRR1383465.12415	20100505_IGHV_left_2	0.0
SRR1383465.12622	20100505_IGHV_left_6	0.0
SRR1383465.12812	20100505_IGHV_left_26	0.0
SRR1383465.12976	20100505_IGHV_left_33	0.0
SRR1383465.12453	20100505_IGHV_left_33	0.0
SRR1383465.12647	20100505_IGHV_left_2	0.0
SRR1383465.12843	20100505_IGHV_left_22	0.08333333333333337
SRR1383465.13395	20100505_IGHV_left_2	0.0
SRR1383465.13335	20100505_IGHV_left_13	0.0
SRR1383465.13603	20100505_IGHV_left_2	0.0
SRR1383465.13493	20100505_IGHV_left_2	0.0
SRR1383465.13707	20100505_IGHV_left_2	0.0
SRR1383465.12661	20100505_IGHV_left_32	0.0
SRR1383465.13333	20100505_IGHV_left_10	0.0
SRR1383465.13624	20100505_IGHV_left_11	0.0
SRR1383465.13399	20100505_IGHV_left_13	0.0
SRR1383465.13991	20100505_IGHV_left_2	0.0
SRR1383465.13747	20100505_IGHV_left_10	0.0
SRR1383465.13977	20100505_IGHV_left_43	0.038461538461538436
SRR1383465.14371	20100505_IGHV_left_33	0.04347826086956519
SRR1383465.14677	20100505_IGHV_left_28	0.0
SRR1383465.14047	20100505_IGHV_left_14	0.0
SRR1383465.14307	20100505_IGHV_left_21	0.0
SRR1383465.14058	20100505_IGHV_left_28	0.04166666666666663
SRR1383465.14335	20100505_IGHV_left_10	0.0
SRR1383465.14702	20100505_IGHV_left_37	0.0
SRR1383465.15221	20100505_IGHV_left_2	0.0
SRR1383465.15333	20100505_IGHV_left_12	0.0
SRR1383465.15206	20100505_IGHV_left_38	0.0
SRR1383465.14884	20100505_IGHV_left_26	0.0
SRR1383465.15253	20100505_IGHV_left_21	0.04166666666666663
SRR1383465.15348	20100505_IGHV_left_2	0.0
SRR1383465.15086	20100505_IGHV_left_2	0.0
SRR1383465.15320	20100505_IGHV_left_33	0.0
SRR1383465.15866	20100505_IGHV_left_31	0.5769230769230769
SRR1383465.15923	20100505_IGHV_left_2	0.0
SRR1383465.16098	20100505_IGHV_left_33	0.0
SRR1383465.16142	20100505_IGHV_left_3	0.7307692307692308
SRR1383465.15958	20100505_IGHV_left_31	0.7307692307692308
SRR1383465.16182	20100505_IGHV_left_12	0.0
SRR1383465.15364	20100505_IGHV_left_10	0.0
SRR1383465.15521	20100505_IGHV_left_21	0.0
SRR1383465.15599	20100505_IGHV_left_2	0.0
SRR1383465.15991	20100505_IGHV_left_43	0.5384615384615384
SRR1383465.16354	20100505_IGHV_left_12	0.0
SRR1383465.16426	20100505_IGHV_left_8	0.0
SRR1383465.16817	20100505_IGHV_left_17	0.0
SRR1383465.16385	20100505_IGHV_left_2	0.0
SRR1383465.16554	20100505_IGHV_left_2	0.0
SRR1383465.16942	20100505_IGHV_left_35	0.0
SRR1383465.16778	20100505_IGHV_left_16	0.08333333333333337
SRR1383465.16947	20100505_IGHV_left_2	0.0
SRR1383465.16603	20100505_IGHV_left_30	0.0
SRR1383465.17023	20100505_IGHV_left_2	0.04347826086956519
SRR1383465.17302	20100505_IGHV_left_43	0.038461538461538436
SRR1383465.17096	20100505_IGHV_left_43	0.7307692307692308
SRR1383465.17335	20100505_IGHV_left_13	0.0
SRR1383465.17140	20100505_IGHV_left_13	0.0
SRR1383465.17478	20100505_IGHV_left_2	0.0
SRR1383465.17294	20100505_IGHV_left_21	0.0
SRR1383465.17536	20100505_IGHV_left_35	0.0
SRR1383465.17702	20100505_IGHV_left_14	0.0
SRR1383465.18265	20100505_IGHV_left_10	0.0
SRR1383465.17863	20100505_IGHV_left_6	0.0
SRR1383465.18281	20100505_IGHV_left_14	0.0
SRR1383465.18086	20100505_IGHV_left_2	0.0
SRR1383465.18334	20100505_IGHV_left_9	0.0
SRR1383465.18210	20100505_IGHV_left_17	0.6666666666666667
SRR1383465.18350	20100505_IGHV_left_36	0.0
SRR1383465.18584	20100505_IGHV_left_2	0.0
SRR1383465.18794	20100505_IGHV_left_44	0.0
SRR1383465.18370	20100505_IGHV_left_28	0.04166666666666663
SRR1383465.18678	20100505_IGHV_left_8	0.0
SRR1383465.19081	20100505_IGHV_left_41	0.0
SRR1383465.19573	20100505_IGHV_left_30	0.0
SRR1383465.19583	20100505_IGHV_left_13	0.0
SRR1383465.19756	20100505_IGHV_left_2	0.0
SRR1383465.18470	20100505_IGHV_left_3	0.0
SRR1383465.18681	20100505_IGHV_left_32	0.0
SRR1383465.19188	20100505_IGHV_left_21	0.0
SRR1383465.19672	20100505_IGHV_left_2	0.0
SRR1383465.19845	20100505_IGHV_left_40	0.0
SRR1383465.19912	20100505_IGHV_left_33	0.26086956521739135
SRR1383465.19758	20100505_IGHV_left_37	0.0
SRR1383465.19852	20100505_IGHV_left_16	0.0
SRR1383465.19918	20100505_IGHV_left_6	0.04347826086956519
SRR1383465.19834	20100505_IGHV_left_2	0.0
SRR1383465.19924	20100505_IGHV_left_14	0.0
SRR1383465.20007	20100505_IGHV_left_11	0.0
SRR1383465.19928	20100505_IGHV_left_2	0.0
SRR1383465.18668	20100505_IGHV_left_2	0.0
SRR1383465.19289	20100505_IGHV_left_28	0.04166666666666663
SRR1383465.19671	20100505_IGHV_left_45	0.0
SRR1383465.19797	20100505_IGHV_left_10	0.0
SRR1383465.20174	20100505_IGHV_left_10	0.0
SRR1383465.20227	20100505_IGHV_left_2	0.0
SRR1383465.20205	20100505_IGHV_left_13	0.0
SRR1383465.20414	20100505_IGHV_left_32	0.0
SRR1383465.20422	20100505_IGHV_left_6	0.0
SRR1383465.20234	20100505_IGHV_left_2	0.0
SRR1383465.20910	20100505_IGHV_left_2	0.0
SRR1383465.20241	20100505_IGHV_left_35	0.0
SRR1383465.20507	20100505_IGHV_left_2	0.0
SRR1383465.20932	20100505_IGHV_left_2	0.0
SRR1383465.20649	20100505_IGHV_left_15	0.0
SRR1383465.21190	20100505_IGHV_left_2	0.0
SRR1383465.21150	20100505_IGHV_left_10	0.0
SRR1383465.21285	20100505_IGHV_left_26	0.0
SRR1383465.21089	20100505_IGHV_left_2	0.0
SRR1383465.21640	20100505_IGHV_left_3	0.7307692307692308
SRR1383465.21259	20100505_IGHV_left_28	0.0
SRR1383465.21554	20100505_IGHV_left_11	0.04347826086956519
SRR1383465.20710	20100505_IGHV_left_2	0.0
SRR1383465.21078	20100505_IGHV_left_2	0.0
SRR1383465.21703	20100505_IGHV_left_6	0.0
SRR1383465.21181	20100505_IGHV_left_14	0.0
SRR1383465.21493	20100505_IGHV_left_2	0.0
SRR1383465.21841	20100505_IGHV_left_37	0.55
SRR1383465.21998	20100505_IGHV_left_2	0.0
SRR1383465.21802	20100505_IGHV_left_10	0.0
SRR1383465.22241	20100505_IGHV_left_33	0.0
SRR1383465.21928	20100505_IGHV_left_43	0.0
SRR1383465.22005	20100505_IGHV_left_41	0.0
SRR1383465.21831	20100505_IGHV_left_13	0.0
SRR1383465.21956	20100505_IGHV_left_12	0.0
SRR1383465.22090	20100505_IGHV_left_14	0.0
SRR1383465.22245	20100505_IGHV_left_36	0.0
SRR1383465.22441	20100505_IGHV_left_14	0.0
SRR1383465.22462	20100505_IGHV_left_12	0.0
SRR1383465.22331	20100505_IGHV_left_26	0.0
SRR1383465.22077	20100505_IGHV_left_13	0.0
SRR1383465.22639	20100505_IGHV_left_2	0.0
SRR1383465.22720	20100505_IGHV_left_8	0.0
SRR1383465.23175	20100505_IGHV_left_2	0.0
SRR1383465.22593	20100505_IGHV_left_22	0.04166666666666663
SRR1383465.22273	20100505_IGHV_left_11	0.0
SRR1383465.22927	20100505_IGHV_left_2	0.0
SRR1383465.23123	20100505_IGHV_left_33	0.0
SRR1383465.23432	20100505_IGHV_left_13	0.0
SRR1383465.23695	20100505_IGHV_left_14	0.0
SRR1383465.23533	20100505_IGHV_left_15	0.04166666666666663
SRR1383465.23720	20100505_IGHV_left_15	0.0
SRR1383465.23522	20100505_IGHV_left_14	0.0
SRR1383465.22767	20100505_IGHV_left_32	0.0
SRR1383465.23535	20100505_IGHV_left_2	0.0
SRR1383465.23753	20100505_IGHV_left_3	0.0
SRR1383465.23786	20100505_IGHV_left_2	0.0
SRR1383465.23909	20100505_IGHV_left_2	0.0
SRR1383465.24124	20100505_IGHV_left_27	0.13043478260869568
SRR1383465.23861	20100505_IGHV_left_37	0.0
SRR1383465.23975	20100505_IGHV_left_2	0.0
SRR1383465.23916	20100505_IGHV_left_20	0.75
SRR1383465.23896	20100505_IGHV_left_2	0.0
SRR1383465.24013	20100505_IGHV_left_25	0.038461538461538436
SRR1383465.24184	20100505_IGHV_left_40	0.0
SRR1383465.24310	20100505_IGHV_left_14	0.0
SRR1383465.24315	20100505_IGHV_left_13	0.0
SRR1383465.24440	20100505_IGHV_left_40	0.0
SRR1383465.24644	20100505_IGHV_left_2	0.0
SRR1383465.24422	20100505_IGHV_left_2	0.08695652173913049
SRR1383465.24326	20100505_IGHV_left_8	0.0
SRR1383465.24666	20100505_IGHV_left_22	0.0
SRR1383465.24699	20100505_IGHV_left_2	0.0
SRR1383465.24689	20100505_IGHV_left_2	0.0
SRR1383465.24793	20100505_IGHV_left_32	0.0
SRR1383465.25384	20100505_IGHV_left_2	0.0
SRR1383465.24997	20100505_IGHV_left_45	0.0
SRR1383465.25479	20100505_IGHV_left_38	0.0
SRR1383465.24759	20100505_IGHV_left_21	0.0
SRR1383465.25773	20100505_IGHV_left_26	0.0
SRR1383465.25980	20100505_IGHV_left_4	0.6086956521739131
SRR1383465.25410	20100505_IGHV_left_32	0.0
SRR1383465.25396	20100505_IGHV_left_8	0.0
SRR1383465.25944	20100505_IGHV_left_13	0.04166666666666663
SRR1383465.25829	20100505_IGHV_left_36	0.0
SRR1383465.26100	20100505_IGHV_left_13	0.0
SRR1383465.26625	20100505_IGHV_left_44	0.6538461538461539
SRR1383465.26774	20100505_IGHV_left_2	0.0
SRR1383465.26560	20100505_IGHV_left_37	0.0
SRR1383465.26924	20100505_IGHV_left_2	0.0
SRR1383465.26989	20100505_IGHV_left_26	0.0
SRR1383465.27038	20100505_IGHV_left_1	0.0
SRR1383465.27114	20100505_IGHV_left_2	0.0
SRR1383465.27250	20100505_IGHV_left_39	0.0
SRR1383465.27544	20100505_IGHV_left_2	0.0
SRR1383465.27486	20100505_IGHV_left_10	0.0
SRR1383465.27631	20100505_IGHV_left_2	0.0
SRR1383465.27937	20100505_IGHV_left_32	0.0
SRR1383465.27755	20100505_IGHV_left_36	0.0
SRR1383465.27207	20100505_IGHV_left_43	0.0
SRR1383465.27310	20100505_IGHV_left_30	0.04347826086956519
SRR1383465.27574	20100505_IGHV_left_32	0.0
SRR1383465.28166	20100505_IGHV_left_10	0.0
SRR1383465.28120	20100505_IGHV_left_2	0.0
SRR1383465.28237	20100505_IGHV_left_17	0.0
SRR1383465.28462	20100505_IGHV_left_10	0.0
SRR1383465.27449	20100505_IGHV_left_13	0.0
SRR1383465.27623	20100505_IGHV_left_30	0.0
SRR1383465.27915	20100505_IGHV_left_42	0.6521739130434783
SRR1383465.28052	20100505_IGHV_left_10	0.0
SRR1383465.28183	20100505_IGHV_left_21	0.0
SRR1383465.28581	20100505_IGHV_left_5	0.0
SRR1383465.28131	20100505_IGHV_left_13	0.0
SRR1383465.28496	20100505_IGHV_left_6	0.0
SRR1383465.28461	20100505_IGHV_left_38	0.0
SRR1383465.28480	20100505_IGHV_left_13	0.0
SRR1383465.28567	20100505_IGHV_left_2	0.0
SRR1383465.28646	20100505_IGHV_left_11	0.0
SRR1383465.28901	20100505_IGHV_left_45	0.0
SRR1383465.28872	20100505_IGHV_left_35	0.0
SRR1383465.28917	20100505_IGHV_left_10	0.0
SRR1383465.29119	20100505_IGHV_left_25	0.038461538461538436
SRR1383465.28746	20100505_IGHV_left_35	0.0
SRR1383465.29032	20100505_IGHV_left_21	0.0
SRR1383465.29215	20100505_IGHV_left_2	0.0
SRR1383465.28913	20100505_IGHV_left_40	0.0
SRR1383465.29235	20100505_IGHV_left_11	0.0
SRR1383465.29286	20100505_IGHV_left_2	0.0
SRR1383465.29276	20100505_IGHV_left_32	0.0
SRR1383465.29397	20100505_IGHV_left_13	0.0
SRR1383465.29148	20100505_IGHV_left_2	0.0
SRR1383465.29351	20100505_IGHV_left_6	0.0
SRR1383465.29405	20100505_IGHV_left_14	0.0
SRR1383465.29437	20100505_IGHV_left_2	0.0
SRR1383465.29482	20100505_IGHV_left_14	0.0
SRR1383465.29408	20100505_IGHV_left_38	0.0
SRR1383465.29480	20100505_IGHV_left_40	0.0
SRR1383465.29429	20100505_IGHV_left_22	0.0
SRR1383465.29762	20100505_IGHV_left_2	0.0
SRR1383465.30017	20100505_IGHV_left_2	0.0
SRR1383465.29909	20100505_IGHV_left_7	0.0
SRR1383465.29721	20100505_IGHV_left_45	0.0
SRR1383465.30178	20100505_IGHV_left_12	0.0
SRR1383465.30025	20100505_IGHV_left_16	0.0
SRR1383465.29834	20100505_IGHV_left_2	0.0
SRR1383465.29973	20100505_IGHV_left_38	0.7142857142857143
SRR1383465.30163	20100505_IGHV_left_22	0.0
SRR1383465.30088	20100505_IGHV_left_13	0.0
SRR1383465.30414	20100505_IGHV_left_16	0.0
SRR1383465.30561	20100505_IGHV_left_35	0.0
SRR1383465.31027	20100505_IGHV_left_10	0.0
SRR1383465.30470	20100505_IGHV_left_2	0.0
SRR1383465.30263	20100505_IGHV_left_12	0.0
SRR1383465.30923	20100505_IGHV_left_5	0.782608695652174
SRR1383465.31154	20100505_IGHV_left_2	0.0
SRR1383465.31401	20100505_IGHV_left_22	0.0
SRR1383465.31389	20100505_IGHV_left_21	0.0
SRR1383465.31366	20100505_IGHV_left_2	0.0
SRR1383465.30916	20100505_IGHV_left_2	0.0
SRR1383465.31048	20100505_IGHV_left_41	0.04166666666666663
SRR1383465.31440	20100505_IGHV_left_22	0.0
SRR1383465.31576	20100505_IGHV_left_2	0.0
SRR1383465.31525	20100505_IGHV_left_14	0.0
SRR1383465.31794	20100505_IGHV_left_13	0.0
SRR1383465.31174	20100505_IGHV_left_14	0.0
SRR1383465.31703	20100505_IGHV_left_12	0.0
SRR1383465.31977	20100505_IGHV_left_6	0.0
SRR1383465.31476	20100505_IGHV_left_12	0.04166666666666663
SRR1383465.31643	20100505_IGHV_left_8	0.0
SRR1383465.31841	20100505_IGHV_left_2	0.0
SRR1383465.32445	20100505_IGHV_left_14	0.0
SRR1383465.32823	20100505_IGHV_left_16	0.0
SRR1383465.32423	20100505_IGHV_left_33	0.0
SRR1383465.32592	20100505_IGHV_left_14	0.0
SRR1383465.32764	20100505_IGHV_left_2	0.0
SRR1383465.32925	20100505_IGHV_left_2	0.0
SRR1383465.31825	20100505_IGHV_left_2	0.0
SRR1383465.32441	20100505_IGHV_left_11	0.0
SRR1383465.32688	20100505_IGHV_left_35	0.0
SRR1383465.33023	20100505_IGHV_left_2	0.0
SRR1383465.33245	20100505_IGHV_left_2	0.0
SRR1383465.33100	20100505_IGHV_left_36	0.0
SRR1383465.32632	20100505_IGHV_left_15	0.04166666666666663
SRR1383465.33272	20100505_IGHV_left_2	0.0
SRR1383465.33067	20100505_IGHV_left_3	0.0
SRR1383465.33330	20100505_IGHV_left_13	0.0
SRR1383465.33083	20100505_IGHV_left_2	0.0
SRR1383465.33200	20100505_IGHV_left_14	0.0
SRR1383465.33285	20100505_IGHV_left_25	0.5769230769230769
SRR1383465.33419	20100505_IGHV_left_40	0.0
SRR1383465.33724	20100505_IGHV_left_12	0.0
SRR1383465.33250	20100505_IGHV_left_2	0.0
SRR1383465.33354	20100505_IGHV_left_33	0.0
SRR1383465.33529	20100505_IGHV_left_2	0.04347826086956519
SRR1383465.33452	20100505_IGHV_left_12	0.0
SRR1383465.34232	20100505_IGHV_left_8	0.0
SRR1383465.33614	20100505_IGHV_left_45	0.64
SRR1383465.33888	20100505_IGHV_left_10	0.0
SRR1383465.33525	20100505_IGHV_left_28	0.04166666666666663
SRR1383465.34220	20100505_IGHV_left_14	0.0
SRR1383465.33791	20100505_IGHV_left_14	0.0
SRR1383465.34335	20100505_IGHV_left_2	0.0
SRR1383465.34512	20100505_IGHV_left_22	0.0
SRR1383465.34344	20100505_IGHV_left_2	0.0
SRR1383465.34640	20100505_IGHV_left_14	0.0
SRR1383465.34624	20100505_IGHV_left_13	0.0
SRR1383465.34354	20100505_IGHV_left_15	0.04166666666666663
SRR1383465.34979	20100505_IGHV_left_2	0.0
SRR1383465.34694	20100505_IGHV_left_2	0.0
SRR1383465.34860	20100505_IGHV_left_5	0.6086956521739131
SRR1383465.35015	20100505_IGHV_left_14	0.0
SRR1383465.35271	20100505_IGHV_left_13	0.0
SRR1383465.35165	20100505_IGHV_left_14	0.0
SRR1383465.35315	20100505_IGHV_left_13	0.0
SRR1383465.35196	20100505_IGHV_left_2	0.0
SRR1383465.35356	20100505_IGHV_left_26	0.0
