subj_locus	gene	seq_count	seq_freq	sample_id	subject_id	locus
SRR1383463_M5_IG	IGHV1-69	764	0.160470489392985	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-30	410	0.0861163621088007	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-30	341	0.125506072874494	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV7-4-1	301	0.0632220121823146	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-21	298	0.0625918924595673	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV4-30-4	237	0.0497794580970384	SRR1383463	M5	IG
SRR1383465_M5_IG	IGHV1-69	221	0.127671865973426	SRR1383465	M5	IG
SRR1383463_M5_IG	IGHV3-33	217	0.0455786599453896	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV1-69	198	0.0728744939271255	SRR1383451	M4	IG
SRR1383465_M5_IG	IGHV3-30	195	0.11265164644714	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV3-9	194	0.0714022819285977	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV1-46	186	0.039067422810334	SRR1383463	M5	IG
SRR1383464_M5_IG	IGHV1-69	184	0.175572519083969	SRR1383464	M5	IG
SRR1383463_M5_IG	IGHV2-5	183	0.0384373030875866	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV1-8	180	0.0378071833648393	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV1-2	177	0.0651453809348546	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV4-59	176	0.0369670237345096	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV1-2	174	0.0365469439193447	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-33	165	0.0607287449392713	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV3-30-3	165	0.0346565847511027	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-11	152	0.031926065952531	SRR1383463	M5	IG
SRR1383465_M5_IG	IGHV3-21	148	0.0854997111496245	SRR1383465	M5	IG
SRR1383451_M4_IG	IGHV1-18	145	0.0533676849466323	SRR1383451	M4	IG
SRR1383453_M4_IG	IGHV3-30	142	0.147150259067358	SRR1383453	M4	IG
SRR1383452_M4_IG	IGHV3-30	136	0.151279199110122	SRR1383452	M4	IG
SRR1383463_M5_IG	IGHV1-18	127	0.02667506826297	SRR1383463	M5	IG
SRR1383463_M5_IG	IGHV3-9	125	0.0262549884478051	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV3-21	111	0.0408538829591461	SRR1383451	M4	IG
SRR1383464_M5_IG	IGHV7-4-1	111	0.105916030534351	SRR1383464	M5	IG
SRR1383464_M5_IG	IGHV3-30	109	0.104007633587786	SRR1383464	M5	IG
SRR1383451_M4_IG	IGHV3-11	108	0.0397497239602503	SRR1383451	M4	IG
SRR1383463_M5_IG	IGHV4-30-2	103	0.0216341104809914	SRR1383463	M5	IG
SRR1383451_M4_IG	IGHV4-59	101	0.0371733529628266	SRR1383451	M4	IG
