sample_id	file_0	from_name	from_num_seqs	task	to_name	to_num_seqs
NA	SRR1383452_db-pass.tsv	SRR1383452_db-pass.tsv	2219	FilterQuality	SRR1383452_quality-pass.tsv	2219
NA	SRR1383464_db-pass.tsv	SRR1383464_db-pass.tsv	1851	FilterQuality	SRR1383464_quality-pass.tsv	1851
NA	SRR1383464_db-pass.tsv	SRR1383464_productive-T.tsv	1851	FilterJunctionMod3	SRR1383464_junction-pass.tsv	1851
NA	SRR1383464_db-pass.tsv	SRR1383464_igblast.fmt7	1854	MakeDB-igblast	SRR1383464_db-pass.tsv	1851
NA	SRR1383451_quality-pass.tsv	SRR1383451_quality-pass.tsv	8872	ParseDb-split	SRR1383451_productive-F.tsv	13
NA	SRR1383451_quality-pass.tsv	SRR1383451_quality-pass.tsv	8872	ParseDb-split	SRR1383451_productive-T.tsv	8859
NA	SRR1383467_meta-pass.tsv	SRR1383467_meta-pass.tsv	203	CollapseDuplicates	SRR1383467_meta-pass_SRR1383467_collapse-pass.tsv	80
NA	SRR1383453_igblast.fmt7	SRR1383453_igblast.fmt7	2513	MakeDB-igblast	SRR1383453_db-pass.tsv	2438
NA	SRR1383451_quality-pass.tsv	SRR1383451_atleast-2.fasta	NA	AssignGenes-igblast	SRR1383451_igblast.fmt7	9106
NA	SRR1383456_junction-pass.tsv	SRR1383456_junction-pass.tsv	14	AddMetadata	SRR1383456_meta-pass.tsv	14
NA	SRR1383453_igblast.fmt7	SRR1383453_quality-pass.tsv	2434	ParseDb-split	SRR1383453_productive-T.tsv	2432
NA	SRR1383453_igblast.fmt7	SRR1383453_quality-pass.tsv	2434	ParseDb-split	SRR1383453_productive-F.tsv	2
NA	SRR1383452_db-pass.tsv	SRR1383452_meta-pass.tsv	2219	CollapseDuplicates	SRR1383452_meta-pass_SRR1383452_collapse-pass.tsv	900
NA	SRR1383464_db-pass.tsv	SRR1383464_quality-pass.tsv	1851	ParseDb-split	SRR1383464_productive-T.tsv	1851
NA	SRR1383466_meta-pass.tsv	SRR1383466_meta-pass.tsv	62	CollapseDuplicates	SRR1383466_meta-pass_SRR1383466_collapse-pass.tsv	25
NA	SRR1383467_meta-pass.tsv	SRR1383467_junction-pass.tsv	203	AddMetadata	SRR1383467_meta-pass.tsv	203
NA	SRR1383468_db-pass.tsv	SRR1383468_db-pass.tsv	215	FilterQuality	SRR1383468_quality-pass.tsv	215
NA	SRR1383453_igblast.fmt7	SRR1383453_meta-pass.tsv	2431	CollapseDuplicates	SRR1383453_meta-pass_SRR1383453_collapse-pass.tsv	965
NA	SRR1383465_igblast.fmt7	SRR1383465_igblast.fmt7	3171	MakeDB-igblast	SRR1383465_db-pass.tsv	3158
NA	SRR1383467_meta-pass.tsv	SRR1383467_quality-pass.tsv	203	ParseDb-split	SRR1383467_productive-T.tsv	203
NA	SRR1383466_meta-pass.tsv	SRR1383466_db-pass.tsv	62	FilterQuality	SRR1383466_quality-pass.tsv	62
NA	SRR1383465_igblast.fmt7	SRR1383465_meta-pass.tsv	3156	CollapseDuplicates	SRR1383465_meta-pass_SRR1383465_collapse-pass.tsv	1732
NA	SRR1383453_igblast.fmt7	SRR1383453_junction-pass.tsv	2431	AddMetadata	SRR1383453_meta-pass.tsv	2431
NA	SRR1383464_db-pass.tsv	SRR1383464_junction-pass.tsv	1851	AddMetadata	SRR1383464_meta-pass.tsv	1851
NA	SRR1383451_quality-pass.tsv	SRR1383451_db-pass.tsv	8884	FilterQuality	SRR1383451_quality-pass.tsv	8872
NA	SRR1383467_meta-pass.tsv	SRR1383467_atleast-2.fasta	NA	AssignGenes-igblast	SRR1383467_igblast.fmt7	248
NA	SRR1383456_junction-pass.tsv	SRR1383456_igblast.fmt7	121	MakeDB-igblast	SRR1383456_db-pass.tsv	15
NA	SRR1383463_meta-pass.tsv	SRR1383463_meta-pass.tsv	9854	CollapseDuplicates	SRR1383463_meta-pass_SRR1383463_collapse-pass.tsv	4764
NA	SRR1383468_db-pass.tsv	SRR1383468_meta-pass.tsv	212	CollapseDuplicates	SRR1383468_meta-pass_SRR1383468_collapse-pass.tsv	66
NA	SRR1383463_meta-pass.tsv	SRR1383463_igblast.fmt7	9925	MakeDB-igblast	SRR1383463_db-pass.tsv	9868
NA	SRR1383468_db-pass.tsv	SRR1383468_atleast-2.fasta	NA	AssignGenes-igblast	SRR1383468_igblast.fmt7	267
NA	SRR1383466_meta-pass.tsv	SRR1383466_atleast-2.fasta	NA	AssignGenes-igblast	SRR1383466_igblast.fmt7	102
NA	SRR1383453_igblast.fmt7	SRR1383453_db-pass.tsv	2438	FilterQuality	SRR1383453_quality-pass.tsv	2434
NA	SRR1383468_db-pass.tsv	SRR1383468_productive-T.tsv	212	FilterJunctionMod3	SRR1383468_junction-pass.tsv	212
